"revenue","genre","year","runtime","rating","vote_count","popularity","High_Revenue"
1883276,"爱情",2025,109,6.201,386,4.1115,"Non_High_Revenue"
4948343,"剧情",2025,174,7.95,665,4.9699,"High_Revenue"
2103715,"音乐",2025,108,5,1,0.1771,"Non_High_Revenue"
1416450,"音乐",2025,94,5,1,0.2991,"Non_High_Revenue"
292959,"恐怖",2025,97,5.7,7,1.1027,"Non_High_Revenue"
10888597,"奇幻",2025,115,6,2,1.4446,"High_Revenue"
193546,"剧情",2025,98,7.4,26,0.487,"Non_High_Revenue"
3421361,"奇幻",2025,103,6.7,10,1.1146,"Non_High_Revenue"
3081875,"喜剧",2025,105,6.676,664,4.0839,"Non_High_Revenue"
2514837,"剧情",2025,124,5.9,23,1.2249,"Non_High_Revenue"
2399723,"恐怖",2025,102,6.93,1107,9.1319,"Non_High_Revenue"
1206370,"恐怖",2025,109,5.8,5,0.6126,"Non_High_Revenue"
1201846,"惊悚",2025,110,6.15,170,6.794,"Non_High_Revenue"
240301,"剧情",2025,91,7,1,0.3225,"Non_High_Revenue"
181629,"恐怖",2025,105,2,1,1.4052,"Non_High_Revenue"
141510,"音乐",2025,101,0,0,0.2105,"Non_High_Revenue"
108045,"历史",2025,113,5.886,35,0.7279,"Non_High_Revenue"
29247619,"惊悚",2025,162,7.369,3635,22.5477,"High_Revenue"
1677165,"音乐",2025,107,5,1,0.23,"Non_High_Revenue"
399375,"纪录",2025,45,0,0,0.1694,"Non_High_Revenue"
588441,"悬疑",2025,102,7.1,25,1.9859,"Non_High_Revenue"
260272875,"动画",2025,100,8.339,847,29.1529,"High_Revenue"
11532712,"恐怖",2025,95,6.668,366,19.7031,"High_Revenue"
3200278,"惊悚",2025,94,0,0,0.2846,"Non_High_Revenue"
2795934,"爱情",2025,145,0,0,1.6588,"Non_High_Revenue"
1196817,"剧情",2025,91,6,2,1.2566,"Non_High_Revenue"
930378,"恐怖",2025,135,7.8,25,3.0863,"Non_High_Revenue"
783935,"喜剧",2025,100,6.41,155,3.4982,"Non_High_Revenue"
696599,"剧情",2025,129,7.7,7,1.2647,"Non_High_Revenue"
